abase,"to humiliate, degrade"
swarthy,of dark color or complexion
sycophant,one who flatters for self-gain
tacit,expressed without words
taciturn,not inclined to talk
tangential,"incidental, peripheral, divergent"
tantamount,equivalent in value or significance
tedious,"dull, boring"
temerity,"audacity, recklessness"
temperance,moderation in action or thought
tenable,able to be defended or maintained
tenuous,having little substance or strength
terrestrial,relating to the land
timorous,"timid, fearful"
tirade,a long speech marked by harsh or biting language
toady,one who flatters in the hope of gaining favors
tome,a large book
torpid,"lethargic, dormant, lacking motion"
torrid,"giving off intense heat, passionate"
tortuous,winding
tractable,easily controlled
tranquil,calm
transgress,"to violate, go over a limit"
transient,passing through briefly; passing into and out of existence
transmute,to change or alter in form
travesty,a grossly inferior imitation
tremulous,fearful
trenchant,"effective, articulate, clear-cut"
trepidation,"fear, apprehension"
trite,"not original, overused"
truculent,"ready to fight, cruel"
truncate,to shorten by cutting off
turgid,"swollen, excessively embellished in style or language"
turpitude,"depravity, moral corruption"
ubiquitous,"existing everywhere, widespread"
umbrage,"resentment, offense"
uncanny,of supernatural character or origin
unctuous,"smooth or greasy in texture, appearance, manner"
undulate,to move in waves
upbraid,to criticize or scold severely
usurp,"to seize by force, take possession of without right"
utilitarian,relating to or aiming at usefulness
utopia,an imaginary and remote place of perfection
vacillate,"to fluctuate, hesitate"
vacuous,"lack of content or ideas, stupid"
validate,"to confirm, support, corroborate"
vapid,"lacking liveliness, dull"
variegated,"diversified, distinctly marked"
vehemently,marked by intense force or emotion
veneer,"a superficial or deceptively attractive appearance, façade"
venerable,deserving of respect because of age or achievement
venerate,to regard with respect or to honor
veracity,"truthfulness, accuracy"
verbose,"wordy, impaired by wordiness"
verdant,green in tint or color
vestige,a mark or trace of something lost or vanished
vex,to confuse or annoy
vicarious,experiencing through another
vicissitude,event that occurs by chance
vigilant,"watchful, alert"
vilify,"to lower in importance, defame"
vindicate,to avenge; to free from allegation; to set free
vindictive,vengeful
virtuoso,one who excels in an art; a highly skilled musical performer
viscous,"not free flowing, syrupy"
vitriolic,having a caustic quality
vituperate,to berate
vivacious,"lively, sprightly"
vocation,"the work in which someone is employed, profession"
vociferous,"loud, boisterous"
wallow,to roll oneself indolently; to become or remain helpless
wane,"to decrease in size, dwindle"
wanton,"undisciplined, lewd, lustful"
whimsical,"fanciful, full of whims"
wily,"crafty, sly"
winsome,"charming, pleasing"
wistful,full of yearning; musingly sad
wizened,"dry, shrunken, wrinkled"
wrath,"vengeful anger, punishment"
yoke,"to join, link"
zealous,"fervent, filled with eagerness in pursuit of something"
zenith,"the highest point, culminating point"
zephyr,a gentle breeze
